indicator,indicator_name,use_code,building_use_group,last_use_discontinued,stock_buildings,demolished_buildings,demolition_rate_pct,demolished_buildings_with_area,demolished_area_coverage_pct,demolished_m2_total,median_demolished_m2_total
D2,Demolition business process,441,Institutions,false,10922,319,2.9207104925837757,317,99.37304075235109,105643,270.0
D2,Demolition business process,219,Agriculture,false,54915,1592,2.8990257670946007,1576,98.99497487437185,322361,130.0
D2,Demolition business process,321,Commerce & services,false,36355,1042,2.866180717920506,1006,96.54510556621881,595191,192.0
D2,Demolition business process,920,Outbuildings & other,false,705406,20178,2.86048034748783,30,0.14867677668748142,1353,25.0
D2,Demolition business process,222,Production & energy,false,17549,493,2.809276881873611,487,98.78296146044624,696576,506.0
D2,Demolition business process,329,Commerce & services,false,5132,139,2.7084957131722525,136,97.84172661870504,77117,192.0
D2,Demolition business process,223,Production & energy,false,32006,854,2.6682497031806536,849,99.41451990632318,348500,220.0
D2,Demolition business process,531,Leisure,false,7147,182,2.546523016650343,182,100.0,40581,134.5
D2,Demolition business process,331,Commerce & services,false,3869,96,2.481261307831481,94,97.91666666666666,89408,380.0
D2,Demolition business process,333,Commerce & services,false,7680,189,2.4609375,183,96.82539682539682,151602,160.0
D2,Demolition business process,421,Institutions,false,12810,312,2.4355971896955504,305,97.75641025641025,290228,270.0
D2,Demolition business process,429,Institutions,false,8719,211,2.420002293841037,206,97.6303317535545,182568,291.0
D2,Demolition business process,339,Commerce & services,false,4384,104,2.3722627737226274,104,100.0,32698,42.0
D2,Demolition business process,120,Housing,false,1426413,33723,2.364182042648237,17195,50.98893929958782,1971550,106.0
D2,Demolition business process,217,Agriculture,false,102042,2393,2.3451127966915584,2367,98.91349770162975,455726,134.0
D2,Demolition business process,231,Production & energy,false,2359,55,2.331496396778296,54,98.18181818181819,16586,161.0
D2,Demolition business process,999,Outbuildings & other,false,38692,868,2.2433578000620282,1,0.1152073732718894,0,0.0
D2,Demolition business process,433,Institutions,false,2150,47,2.186046511627907,47,100.0,22171,232.0
D2,Demolition business process,334,Commerce & services,false,3614,79,2.185943552850028,78,98.73417721518987,18393,149.5
D2,Demolition business process,422,Institutions,false,886,19,2.144469525959368,19,100.0,72835,2052.0
